country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Cuba;1.08;3.77;5.24;8.41;9.74;11.2;11.7;12.9;14.3;15.9;16;21.2;27.9;29.1;37.3;43;57.1;62.7;68;
Cayman Islands;;;;;38;44.5;52;61;64.5;66;69.5;69.7;71.4;74.1;77;79;81.1;;;
Cyprus;18.8;28.3;30.1;33.8;32.8;35.8;40.8;42.3;49.8;53;56.9;60.7;65.5;69.3;71.7;75.9;80.7;84.4;86.1;
Czech Republic;14.7;23.9;34.3;35.5;35.3;47.9;51.9;63;64.4;68.8;70.5;73.4;74.1;74.2;75.7;76.5;78.7;80.7;80.9;
Germany;31.7;48.8;55.9;64.7;68.7;72.2;75.2;78;79;82;81.3;82.3;84.2;86.2;87.6;84.2;84.4;87;88.1;
Djibouti;0.344;0.487;0.626;0.781;0.954;1.27;1.62;2.26;4;6.5;7;9.4;12.7;17;22.9;30.8;55.7;58;59;
Dominica;13.2;18.4;23.6;30.3;38.5;39.4;40.3;41.2;42;47.5;48.6;49.8;51;57.5;65;67;69.6;;;
Denmark;43;64.3;76.3;80.9;82.7;86.7;85;85;86.8;88.7;89.8;92.3;94.6;96;96.3;97;97.1;97.3;98;
Dominican Republic;4.43;6.82;7.9;8.87;11.5;14.8;17.7;20.8;27.7;31.4;38;42.3;45.9;49.6;54.2;63.9;67.6;74.8;75.8;
Algeria;0.646;1.59;2.2;4.63;5.84;7.38;9.45;10.2;11.2;12.5;14.9;18.2;22.5;29.5;38.2;42.9;47.7;49;57.5;
Ecuador;2.67;4.26;4.46;4.83;5.99;7.2;10.8;18.8;24.6;29;31.4;35.1;40.3;45.6;48.9;54.1;;;;
Egypt;0.839;2.72;4.04;11.9;12.8;13.7;16;18;20;21.6;25.6;26.4;29.4;33.9;37.8;41.2;45;46.9;57.3;
Eritrea;0.158;0.227;;;;;0.41;0.47;0.54;0.61;0.7;0.8;0.9;0.99;1.08;1.18;1.31;;;
Spain;18.1;20.4;39.9;44;47.9;50.4;55.1;59.6;62.4;65.8;67.1;69.8;71.6;76.2;78.7;80.6;84.6;86.1;90.7;
Estonia;31.5;41.5;45.3;53.2;61.5;63.5;66.2;70.6;72.5;74.1;76.5;78.4;80;84.2;88.4;87.2;88.1;89.4;90.2;
Ethiopia;0.0372;0.0724;0.106;0.155;0.22;0.311;0.37;0.45;0.54;0.75;1.1;2.9;4.6;7.7;13.9;15.4;18.6;22;25;
Finland;43.1;62.4;69.2;72.4;74.5;79.7;80.8;83.7;82.5;86.9;88.7;89.9;91.5;86.5;86.4;87.7;87.5;88.9;89.6;
Fiji;1.86;6.15;6.73;7.41;8.45;9.6;10.9;13;17;20;28;33.7;35.2;37.4;42.5;46.5;50;;;
France;26.3;30.2;36.1;39.1;42.9;46.9;66.1;70.7;71.6;77.3;77.8;81.4;81.9;83.8;78;79.3;80.5;82;83.3;
Faeroe Islands;43.2;53.3;58.9;66.5;67.9;69.4;76;75.6;75.2;75.2;80.7;85.3;90;93.3;94.2;95.1;97.6;;;
Micronesia;3.73;4.66;5.57;9.23;11;11.9;12.8;13.6;14.5;15.3;20;22.8;26;27.8;29.6;31.5;33.4;35.3;;
Gabon;1.35;1.94;2.66;2.98;4.89;5.49;5.77;7.5;9.5;13;18;24;30.5;38.1;45.8;48.1;50.3;59.6;61;
United Kingdom;33.5;56.5;64.8;65.6;70;68.8;75.1;78.4;83.6;85;85.4;87.5;89.8;91.6;92;94.8;90.4;90.7;92.5;
Georgia;0.992;1.59;2.56;3.89;6.08;7.53;8.26;10;20.1;26.9;31.5;36.9;43.3;44;47.6;58.5;59.7;62.7;68.8;
Ghana;0.2;0.83;1.19;1.72;1.83;2.72;3.85;4.27;5.44;7.8;9;10.6;15;19;23;28;37.9;43;53;
Gibraltar;21.2;23.7;28.3;32.9;39.1;45.3;51.6;58;65.1;65;65;65;;;;94.4;;;;
Guinea;0.176;0.402;0.451;0.509;0.542;0.637;0.78;0.92;0.94;1;2;3.1;4.5;6.4;8.2;9.8;11.4;21.8;23;
Gambia;1.34;1.8;2.44;3.31;3.8;5.24;6.21;6.88;7.63;9.2;10.9;12.4;14;15.6;19.7;25;32;40;51;
Guinea-Bissau;0.3;1.02;1.35;1.81;1.9;2.06;2.21;2.35;2.3;2.45;2.67;2.89;3.1;3.32;;17;18;22;28;
