country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Tonga;2.83;2.91;2.99;3.95;4.91;5.85;7.18;8.11;10;16;25;30;32.8;36;38.7;40;41.2;;;
Trinidad and Tobago;15.4;22;26;27;29;30;32.3;34.8;44.3;48.5;55.2;59.5;63.8;65.1;69.2;73.3;77.3;;;
Tunisia;4.3;5.25;6.49;8.53;9.66;13;17.1;27.5;34.1;36.8;39.1;41.4;43.8;46.2;46.5;49.6;55.5;64.2;66.7;
Turkey;5.19;11.4;12.3;14.6;15.5;18.2;28.6;34.4;36.4;39.8;43.1;45.1;46.3;51;53.7;58.3;64.7;71;74;
Tuvalu;;;;;;;10;15;20;25;30;35;37;39.2;42.7;46;49.3;;;
Tanzania;0.171;0.222;0.677;0.878;1.1;1.3;1.6;1.9;2.4;2.9;3.2;3.95;4.4;7;10;13.5;16;19;20;
Uganda;0.238;0.384;0.465;0.72;1.74;2.53;3.67;;;;;;;;;;;;;
Ukraine;1.24;1.87;3.15;3.49;3.75;4.51;6.55;11;17.9;23.3;28.7;35.3;41;46.2;48.9;53;58.9;62.6;70.1;
Uruguay;11.1;11.4;15.9;17.1;20.1;29.4;34;39.3;41.8;46.4;51.4;54.5;57.7;61.5;64.6;66.4;70.3;80.7;83.4;
United States;49.1;58.8;61.7;64.8;68;68.9;75;74;71;71.7;69.7;74.7;71.4;73;74.6;85.5;87.3;88.5;89.4;
Uzbekistan;0.598;1.08;1.91;2.59;3.34;6.39;7.49;9.08;11.9;15.9;18.6;23.6;26.8;35.5;42.8;46.8;48.7;55.2;70.4;
St. Vincent and the Grenadines;5.09;5.55;6.46;7.37;9.2;12;16;21;31;33.7;36.7;40;43.5;47.4;51.8;55.6;65.6;;;
Venezuela;4.64;4.91;7.5;8.4;12.6;15.2;20.8;25.9;32.7;37.4;40.2;49.1;54.9;57;;;;;;
British Virgin Islands;;18.9;;;;;;;36;37;37.4;37.6;;;;77.7;77.7;;;
Virgin Islands (U.S.);18.4;27.5;27.4;27.4;27.3;27.3;27.3;27.4;27.4;31.2;35.6;40.5;45.3;50.1;54.8;59.6;64.4;;;
Vietnam;1.27;1.85;3.78;7.64;12.7;17.3;20.8;23.9;26.6;30.6;35.1;36.8;38.5;41;45;53;58.1;69.8;68.7;
Vanuatu;2.83;3.51;3.9;4.75;5.08;5.85;6.8;7.27;7.5;8;9.2;10.6;11.3;18.8;22.4;24;25.7;;;
Samoa;1.69;2.24;2.8;3.08;3.35;4.47;4.75;5.03;6;7;11;12.9;15.3;21.2;25.4;29.4;33.6;;;
Yemen;0.0908;0.519;0.605;0.881;1.05;1.25;5.01;6.89;9.96;12.3;14.9;17.4;20;22.6;24.1;24.6;26.7;;;
South Africa;6.35;6.71;7.01;8.43;7.49;7.61;8.07;8.43;10;24;34;41;46.5;49;51.9;54;56.2;62.4;68.2;
Zambia;0.233;0.478;0.98;2.01;2.85;4.16;4.87;5.55;6.31;10;11.5;;;;;;;14.3;19;
Zimbabwe;0.8;1.1;1.8;2.1;2.4;2.4;3;3.5;4;6.4;8.4;12;15.5;16.4;22.7;23.1;24.4;25;25.1;
