country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Iran;1640;1750;1890;2010;2080;2220;2310;2420;2510;2660;2680;2780;2830;3020;;;;;
Iraq;1240;1260;1040;1200;837;982;782;769;863;1240;1310;1140;1430;1330;;;;;
Iceland;27k;27.9k;27.7k;28.2k;28k;31.3k;36.9k;50.1k;51.3k;51.4k;52.4k;53.2k;54.8k;53.8k;;;;;
Israel;6400;6500;6600;6530;6570;6710;7000;7130;6610;6950;6930;7180;6710;6600;;;;;
Italy;5410;5540;5650;5690;5730;5830;5800;5760;5370;5490;5510;5400;5160;5000;;;;;
Jamaica;2280;2350;2410;2380;2400;2370;1930;1160;1220;1220;1200;1040;1010;1050;;;;;
Jordan;1320;1400;1440;1550;1580;1680;1780;1850;1810;1850;1850;1920;1850;1860;;;;;
Japan;8160;8270;8160;8390;8540;8540;8710;8270;8020;8590;8100;8000;7990;7820;;;;;
Kazakhstan;3510;3560;3770;3860;4010;4260;4490;4660;4450;4730;4890;5180;5350;5600;;;;;
Kenya;114;113;119;126;128;136;139;139;140;148;149;150;161;164;;;;;
Kyrgyz Republic;1450;1370;1640;1420;1370;1380;1460;1380;1320;1370;1650;1810;1890;1940;;;;;
Cambodia;36.5;50.3;51.5;55.7;66.8;80.7;101;115;128;144;165;207;222;271;;;;;
South Korea;6310;6670;6980;7390;7800;8040;8460;8770;8880;9720;10.1k;10.3k;10.4k;10.5k;;;;;
Kosovo;1970;1950;1910;2110;2170;2230;2400;2640;2560;2650;2950;2860;2920;2820;;;;;
Kuwait;14.5k;15.1k;16.4k;16.7k;17.1k;17.8k;17.1k;17k;16.5k;16.8k;15.9k;16.1k;15.2k;15.6k;;;;;
Lebanon;2480;2540;2500;2410;2380;2300;2400;2560;2730;3050;2950;2490;2770;2590;;;;;
Libya;2260;2770;2950;3110;3430;3790;3790;3160;3140;3360;2840;2240;2320;1810;;;;;
Sri Lanka;291;303;326;354;400;403;420;426;425;460;502;524;526;531;;;;;
Lithuania;2700;2850;3090;3200;3190;3350;3560;3730;3620;3470;3530;3610;3660;3820;;;;;
Luxembourg;15.6k;16k;16.3k;16.3k;15.6k;16.5k;16.4k;15.9k;14.4k;16.8k;15.6k;14.7k;14.2k;13.9k;;;;;
Latvia;2210;2310;2490;2610;2780;2970;3170;3210;3030;3230;3260;3590;3470;3510;;;;;
Morocco;525;536;582;612;634;688;717;734;746;776;826;877;881;904;;;;;
Moldova;2250;2330;2620;2440;2550;2700;2490;2520;2170;2140;1830;1890;1680;1730;;;;;
Mexico;1830;1840;2000;1930;2000;2020;2050;2050;2000;2020;2220;2250;2140;2160;;;;;
