country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Cote d'Ivoire;729k;1.03M;1.28M;1.67M;2.35M;4.07M;7.47M;10.4M;13.2M;15.6M;17.3M;18.1M;19.4M;22.1M;25.4M;27.5M;31.7M;33.8M;37.4M;
Cameroon;417k;702k;1.08M;1.53M;2.25M;3.14M;4.54M;6.16M;8M;8.64M;10.5M;13.1M;15.7M;17M;18.2M;18.7M;20.1M;18.5M;21.4M;
Congo;15k;150k;560k;1.25M;1.99M;2.75M;4.42M;6.59M;9.94M;9.46M;11.8M;15.6M;20.1M;28.2M;37.1M;37.8M;28.9M;35.4M;36.5M;40.8M
Congo;70k;150k;222k;330k;384k;558k;917k;1.29M;1.81M;2.95M;3.72M;3.88M;4.28M;4.66M;4.93M;5.22M;5.42M;5.06M;5M;
Colombia;3.27M;4.6M;6.19M;10.4M;21.8M;29.8M;33.9M;41.4M;42.2M;44.5M;46.2M;49.1M;50.3M;55.3M;57.3M;58.7M;62.2M;64.5M;66.3M;
Comoros;0;0;2000;8380;15.5k;36.9k;62.1k;91.7k;123k;165k;216k;284k;348k;383k;425k;454k;469k;499k;575k;
Cape Verde;31.5k;42.9k;53.3k;65.8k;81.7k;109k;152k;278k;291k;372k;396k;425k;499k;613k;611k;602k;612k;610k;596k;
Costa Rica;327k;502k;778k;923k;1.1M;1.44M;1.51M;1.89M;1.95M;3.13M;4.15M;5.38M;7.11M;7.02M;7.54M;8.33M;8.84M;8.5M;8.55M;
Cuba;8580;17.9k;35.4k;75.8k;136k;153k;198k;332k;621k;1M;1.32M;1.68M;2M;2.53M;3.34M;3.99M;4.61M;5.37M;6.04M;
Cayman Islands;17k;19k;21k;33.8k;80.9k;92.6k;101k;98.3k;109k;101k;96.8k;98.8k;98k;91.1k;93.2k;95.7k;96.7k;;;
Cyprus;314k;418k;552k;658k;783k;868k;988k;1.02M;978k;1.03M;1.09M;1.11M;1.1M;1.11M;1.11M;1.13M;1.18M;1.2M;1.24M;
